kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.3605,-0.0754,0.7982,-0.4272,0.0175,0.8329,-0.1887,0.1247,0.4284,0.953198,0.127431,-0.273420,-0.020421,413858.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3605,-0.0754,0.7982,-0.4272,0.0175,0.8328,-0.1890,0.1247,0.4283,0.953040,0.127414,-0.273980,-0.020402,413876.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3631,-0.0748,0.7972,-0.4298,0.0181,0.8317,-0.1893,0.1247,0.4282,0.952866,0.127456,-0.274534,-0.020797,413892.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3631,-0.0748,0.7972,-0.4299,0.0181,0.8316,-0.1896,0.1247,0.4281,0.952714,0.127221,-0.275156,-0.020984,413909.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3650,-0.0742,0.7965,-0.4318,0.0188,0.8309,-0.1898,0.1248,0.4281,0.952653,0.127022,-0.275479,-0.020698,413925.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3650,-0.0742,0.7965,-0.4318,0.0188,0.8309,-0.1899,0.1248,0.4280,0.952659,0.126860,-0.275547,-0.020498,413942.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3672,-0.0736,0.7962,-0.4340,0.0194,0.8305,-0.1901,0.1249,0.4281,0.952670,0.126382,-0.275734,-0.020454,413959.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3672,-0.0736,0.7962,-0.4340,0.0194,0.8305,-0.1903,0.1249,0.4280,0.952662,0.126389,-0.275745,-0.020609,413976.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3691,-0.0732,0.7959,-0.4359,0.0197,0.8302,-0.1905,0.1248,0.4280,0.952582,0.126769,-0.275839,-0.020738,413993.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3691,-0.0732,0.7959,-0.4360,0.0197,0.8302,-0.1907,0.1246,0.4280,0.952451,0.127339,-0.276045,-0.020515,414008.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3708,-0.0729,0.7958,-0.4376,0.0201,0.8300,-0.1909,0.1245,0.4279,0.952304,0.127696,-0.276398,-0.020383,414025.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3708,-0.0729,0.7958,-0.4377,0.0201,0.8300,-0.1911,0.1245,0.4280,0.952168,0.127928,-0.276765,-0.020307,414042.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3722,-0.0726,0.7957,-0.4391,0.0203,0.8298,-0.1913,0.1245,0.4280,0.952059,0.128051,-0.277087,-0.020224,414058.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3722,-0.0726,0.7957,-0.4391,0.0203,0.8298,-0.1915,0.1244,0.4280,0.952063,0.128200,-0.277001,-0.020271,414074.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3735,-0.0724,0.7955,-0.4404,0.0206,0.8296,-0.1916,0.1244,0.4280,0.952076,0.128427,-0.276859,-0.020164,414091.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3735,-0.0724,0.7955,-0.4404,0.0206,0.8296,-0.1917,0.1244,0.4280,0.952127,0.128298,-0.276763,-0.019900,414108.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3751,-0.0721,0.7953,-0.4421,0.0209,0.8294,-0.1919,0.1244,0.4280,0.952107,0.128091,-0.276934,-0.019798,414125.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3751,-0.0721,0.7953,-0.4421,0.0209,0.8294,-0.1921,0.1244,0.4280,0.951992,0.128085,-0.277332,-0.019821,414142.40,,,,,,,,,,,,,,,,,,,,,,,,,,
