Format Version,1.23,Take Name,kb_qpzapos_head_duck_left_on_space,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-28 06.31.16.349 PM,Total Frames in Take,8328,Total Exported Frames,8328,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,-0.097307,0.001164,-0.026530,-0.994900,0.078101,1.264901,0.266462,0.093683,1.120577,0.713914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025734,1.280060,0.267091,0.077456,1.258082,0.301653,0.075975,1.299405,0.273276,0.118164,1.274007,0.266744
27,0.225000,-0.097440,0.001178,-0.026590,-0.994885,0.078143,1.264859,0.266484,0.093699,1.120529,0.713964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025780,1.280009,0.267116,0.077492,1.258033,0.301672,0.076013,1.299363,0.273310,0.118202,1.273969,0.266767
28,0.233333,-0.097559,0.001100,-0.026710,-0.994871,0.078183,1.264822,0.266512,0.093726,1.120533,0.713962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025816,1.279958,0.267170,0.077529,1.257987,0.301687,0.076044,1.299320,0.273335,0.118251,1.273945,0.266801
29,0.241667,-0.097613,0.001043,-0.026793,-0.994863,0.078215,1.264787,0.266540,0.093718,1.120581,0.713924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025839,1.279910,0.267205,0.077564,1.257948,0.301714,0.076075,1.299287,0.273368,0.118284,1.273916,0.266826
30,0.250000,-0.097893,0.000991,-0.026777,-0.994836,0.078243,1.264765,0.266566,0.093700,1.120694,0.713867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025862,1.279884,0.267244,0.077597,1.257908,0.301737,0.076112,1.299267,0.273417,0.118311,1.273891,0.266850
31,0.258333,-0.098310,0.000795,-0.026797,-0.994795,0.078261,1.264740,0.266604,0.093650,1.120760,0.713821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025879,1.279848,0.267312,0.077623,1.257869,0.301763,0.076137,1.299231,0.273499,0.118328,1.273867,0.266871
32,0.266667,-0.098367,0.000750,-0.026910,-0.994786,0.078279,1.264707,0.266626,0.093579,1.120812,0.713792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025886,1.279801,0.267339,0.077647,1.257832,0.301784,0.076148,1.299197,0.273526,0.118346,1.273842,0.266893
33,0.275000,-0.098452,0.000805,-0.027070,-0.994773,0.078292,1.264682,0.266662,0.093452,1.120876,0.713764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025892,1.279761,0.267372,0.077663,1.257799,0.301815,0.076157,1.299168,0.273563,0.118348,1.273833,0.266943
34,0.283333,-0.098557,0.000804,-0.027171,-0.994760,0.078303,1.264654,0.266689,0.093391,1.120893,0.713759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025895,1.279717,0.267401,0.077675,1.257764,0.301841,0.076166,1.299145,0.273601,0.118357,1.273811,0.266971
35,0.291667,-0.098678,0.000817,-0.027299,-0.994745,0.078308,1.264625,0.266714,0.093319,1.120894,0.713773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025888,1.279670,0.267425,0.077682,1.257730,0.301861,0.076166,1.299117,0.273638,0.118359,1.273788,0.267000
36,0.300000,-0.098785,0.000841,-0.027364,-0.994732,0.078312,1.264598,0.266737,0.093240,1.120847,0.713799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025887,1.279637,0.267450,0.077686,1.257697,0.301881,0.076167,1.299087,0.273669,0.118362,1.273767,0.267030
37,0.308333,-0.098769,0.000766,-0.027290,-0.994736,0.078306,1.264574,0.266768,0.093147,1.120798,0.713858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025886,1.279618,0.267490,0.077688,1.257676,0.301906,0.076165,1.299068,0.273698,0.118355,1.273733,0.267058
38,0.316667,-0.098815,0.000838,-0.027289,-0.994731,0.078306,1.264550,0.266790,0.093035,1.120763,0.713926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025885,1.279591,0.267502,0.077683,1.257650,0.301930,0.076163,1.299049,0.273729,0.118357,1.273703,0.267081
39,0.325000,-0.098942,0.000858,-0.027272,-0.994719,0.078305,1.264533,0.266820,0.092876,1.120697,0.714003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025884,1.279575,0.267539,0.077679,1.257624,0.301955,0.076162,1.299033,0.273765,0.118361,1.273684,0.267118
40,0.333333,-0.099047,0.000907,-0.027192,-0.994711,0.078307,1.264511,0.266844,0.092796,1.120660,0.714059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025889,1.279560,0.267565,0.077678,1.257595,0.301973,0.076168,1.299015,0.273795,0.118365,1.273652,0.267150
41,0.341667,-0.099146,0.001007,-0.027145,-0.994702,0.078315,1.264491,0.266871,0.092763,1.120621,0.714105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025898,1.279545,0.267588,0.077680,1.257568,0.301995,0.076178,1.298995,0.273827,0.118373,1.273626,0.267190
42,0.350000,-0.099182,0.001089,-0.027113,-0.994699,0.078329,1.264470,0.266895,0.092760,1.120611,0.714124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025915,1.279528,0.267601,0.077688,1.257544,0.302022,0.076190,1.298974,0.273857,0.118388,1.273600,0.267217
