kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1368,0.1523,0.3478,0.957985,0.105091,-0.266598,0.012093,100798.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8309,-0.1368,0.1524,0.3478,0.958028,0.104816,-0.266557,0.011949,100815.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1368,0.1525,0.3478,0.958085,0.104584,-0.266452,0.011764,100831.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1368,0.1525,0.3478,0.958115,0.104332,-0.266446,0.011704,100847.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1367,0.1525,0.3477,0.958078,0.104280,-0.266590,0.011943,100864.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1367,0.1525,0.3477,0.958031,0.104504,-0.266671,0.011908,100882.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1366,0.1525,0.3477,0.958001,0.104539,-0.266770,0.011794,100898.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1366,0.1525,0.3477,0.958002,0.104505,-0.266789,0.011599,100915.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1366,0.1525,0.3477,0.958033,0.104377,-0.266730,0.011509,100931.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8309,-0.1366,0.1525,0.3477,0.958074,0.104296,-0.266610,0.011647,100948.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1365,0.1524,0.3477,0.958070,0.104416,-0.266567,0.011921,100964.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1364,0.1523,0.3477,0.958060,0.104962,-0.266384,0.011976,100981.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1363,0.1522,0.3477,0.958085,0.105286,-0.266169,0.011889,100997.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1363,0.1522,0.3477,0.958110,0.105139,-0.266147,0.011675,101014.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1363,0.1522,0.3478,0.958138,0.105000,-0.266108,0.011516,101031.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1364,0.1523,0.3478,0.958117,0.104982,-0.266189,0.011612,101047.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1364,0.1523,0.3479,0.958075,0.105078,-0.266300,0.011609,101064.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1364,0.1522,0.3478,0.958001,0.105608,-0.266374,0.011268,101080.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1365,0.1521,0.3479,0.957933,0.106244,-0.266370,0.011135,101097.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8309,-0.1365,0.1520,0.3479,0.957888,0.106633,-0.266368,0.011296,101114.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1365,0.1519,0.3478,0.957882,0.106803,-0.266303,0.011767,101131.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8309,-0.1365,0.1519,0.3478,0.957842,0.106842,-0.266419,0.011981,101147.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1366,0.1519,0.3478,0.957899,0.106467,-0.266369,0.011926,101164.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1366,0.1520,0.3478,0.957877,0.106199,-0.266558,0.011868,101181.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1367,0.1520,0.3478,0.957795,0.106033,-0.266910,0.012034,101197.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8307,-0.1367,0.1520,0.3478,0.957679,0.106076,-0.267304,0.012126,101214.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8307,-0.1366,0.1520,0.3477,0.957549,0.106422,-0.267624,0.012307,101230.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4690,0.0133,0.8307,-0.1366,0.1519,0.3476,0.957433,0.106962,-0.267812,0.012593,101248.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4690,0.0133,0.8306,-0.1365,0.1518,0.3475,0.957353,0.107047,-0.268063,0.012607,101264.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4690,0.0133,0.8306,-0.1365,0.1519,0.3475,0.957390,0.106957,-0.267967,0.012627,101281.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4690,0.0133,0.8306,-0.1364,0.1519,0.3475,0.957379,0.107016,-0.267971,0.012810,101297.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4690,0.0133,0.8307,-0.1363,0.1518,0.3475,0.957370,0.107302,-0.267897,0.012692,101314.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8307,-0.1362,0.1517,0.3475,0.957421,0.107792,-0.267527,0.012435,101331.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8307,-0.1361,0.1516,0.3475,0.957476,0.108091,-0.267217,0.012322,101348.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1359,0.1516,0.3476,0.957596,0.108192,-0.266739,0.012429,101364.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1357,0.1515,0.3477,0.957793,0.108564,-0.265879,0.012467,101382.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4687,0.0133,0.8311,-0.1354,0.1513,0.3477,0.958055,0.109348,-0.264613,0.012383,101397.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4685,0.0133,0.8314,-0.1351,0.1511,0.3478,0.958646,0.110638,-0.261914,0.012622,101414.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4684,0.0133,0.8317,-0.1348,0.1509,0.3481,0.959088,0.111145,-0.260068,0.012716,101431.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4682,0.0133,0.8321,-0.1344,0.1509,0.3485,0.959802,0.110878,-0.257519,0.013031,101447.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4680,0.0133,0.8324,-0.1341,0.1509,0.3488,0.960566,0.110346,-0.254895,0.012888,101463.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4678,0.0133,0.8327,-0.1337,0.1510,0.3491,0.961146,0.110060,-0.252817,0.012969,101480.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4677,0.0133,0.8329,-0.1334,0.1509,0.3493,0.961585,0.110128,-0.251124,0.012777,101497.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4676,0.0133,0.8331,-0.1332,0.1508,0.3494,0.961822,0.110418,-0.250097,0.012544,101514.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4675,0.0133,0.8331,-0.1330,0.1507,0.3494,0.961901,0.110829,-0.249623,0.012325,101530.70,,,,,,,,,,,,,,,,,,,,,,,,,,
