kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3203,-0.1385,0.7998,-0.2843,-0.0455,0.8657,-0.6449,0.0394,0.6277,0.862340,0.110811,0.485713,-0.090412,761480.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3189,-0.1393,0.7997,-0.2830,-0.0464,0.8657,-0.6448,0.0393,0.6279,0.862606,0.110965,0.485133,-0.090797,761497.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3189,-0.1393,0.7997,-0.2831,-0.0464,0.8657,-0.6447,0.0393,0.6281,0.862842,0.110847,0.484651,-0.091269,761514.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3180,-0.1398,0.7998,-0.2823,-0.0468,0.8659,-0.6446,0.0393,0.6282,0.863112,0.110512,0.484180,-0.091618,761531.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3180,-0.1398,0.7998,-0.2824,-0.0468,0.8659,-0.6445,0.0393,0.6283,0.863327,0.110162,0.483903,-0.091480,761547.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3181,-0.1397,0.7983,-0.2825,-0.0467,0.8644,-0.6444,0.0393,0.6284,0.863534,0.110231,0.483577,-0.091170,761565.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3181,-0.1397,0.7983,-0.2825,-0.0467,0.8644,-0.6442,0.0393,0.6284,0.863547,0.110496,0.483556,-0.090834,761581.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3185,-0.1394,0.7977,-0.2829,-0.0465,0.8639,-0.6441,0.0392,0.6285,0.863642,0.110648,0.483377,-0.090701,761598.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3185,-0.1394,0.7977,-0.2829,-0.0465,0.8639,-0.6440,0.0392,0.6285,0.863676,0.110762,0.483295,-0.090667,761614.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3185,-0.1394,0.7977,-0.2829,-0.0465,0.8639,-0.6438,0.0392,0.6292,0.863698,0.111188,0.483137,-0.090786,761633.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3185,-0.1394,0.7977,-0.2829,-0.0465,0.8639,-0.6437,0.0391,0.6293,0.863842,0.111467,0.482784,-0.090952,761648.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3178,-0.1396,0.7979,-0.2824,-0.0466,0.8642,-0.6437,0.0389,0.6293,0.863943,0.112028,0.482412,-0.091273,761664.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3178,-0.1396,0.7979,-0.2824,-0.0466,0.8642,-0.6436,0.0387,0.6293,0.863958,0.112518,0.482265,-0.091305,761681.90,,,,,,,,,,,,,,,,,,,,,,,,,,
