,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1946,Unlabeled 1946,Unlabeled 1946,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DB240","DB240","DB240","DB250","DB250","DB250","DB260","DB260","DB260","DB270","DB270","DB270","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,0.416667,-0.169159,0.067766,-0.018792,-0.983077,0.059560,1.302714,0.058781,-0.045799,1.056018,0.527921,,,,,,,,,,,,,0.007785,1.319527,0.055198,0.054213,1.290827,0.092169,0.057268,1.335878,0.070311,0.099432,1.310248,0.065449
51,0.425000,-0.169089,0.067710,-0.018721,-0.983094,0.059622,1.302727,0.058772,-0.043964,1.056065,0.528077,,,,,,,,,,,,,0.007847,1.319551,0.055184,0.054281,1.290835,0.092178,0.057336,1.335900,0.070301,0.099495,1.310259,0.065425
52,0.433333,-0.169315,0.067645,-0.018697,-0.983060,0.059688,1.302756,0.058741,-0.042171,1.056044,0.528243,,,,,,,,,,,,,0.007913,1.319576,0.055174,0.054349,1.290856,0.092129,0.057402,1.335923,0.070284,0.099563,1.310281,0.065397
53,0.441667,-0.169389,0.067708,-0.018616,-0.983045,0.059747,1.302782,0.058714,-0.040284,1.056037,0.528309,,,,,,,,,,,,,0.007966,1.319613,0.055143,0.054412,1.290879,0.092099,0.057471,1.335945,0.070262,0.099622,1.310300,0.065380
54,0.450000,-0.169348,0.067705,-0.018653,-0.983051,0.059812,1.302795,0.058695,-0.038746,1.056290,0.528649,,,,,,,,,,,,,0.008037,1.319616,0.055123,0.054476,1.290896,0.092078,0.057532,1.335967,0.070243,0.099679,1.310310,0.065359
55,0.458333,-0.169310,0.067760,-0.018708,-0.983053,0.059876,1.302802,0.058674,-0.036597,1.056235,0.528749,,,,,,,,,,,,,0.008106,1.319615,0.055086,0.054535,1.290909,0.092063,0.057593,1.335978,0.070233,0.099736,1.310320,0.065332
56,0.466667,-0.169172,0.067588,-0.018563,-0.983091,0.059933,1.302804,0.058653,-0.034721,1.056318,0.528870,,,,,,,,,,,,,0.008170,1.319629,0.055072,0.054597,1.290919,0.092059,0.057657,1.335987,0.070213,0.099806,1.310312,0.065280
57,0.475000,-0.169126,0.067485,-0.018508,-0.983107,0.059998,1.302808,0.058636,-0.032830,1.056421,0.529019,,,,,,,,,,,,,0.008242,1.319637,0.055063,0.054664,1.290929,0.092046,0.057724,1.335988,0.070197,0.099873,1.310315,0.065249
58,0.483333,-0.169075,0.067377,-0.018413,-0.983125,0.060064,1.302811,0.058613,-0.030958,1.056600,0.529202,,,,,,,,,,,,,0.008307,1.319652,0.055043,0.054740,1.290934,0.092036,0.057794,1.335992,0.070178,0.099947,1.310312,0.065208
59,0.491667,-0.168945,0.067172,-0.018322,-0.983163,0.060136,1.302816,0.058599,-0.028971,1.056543,0.529396,,,,,,,,,,,,,0.008385,1.319669,0.055048,0.054825,1.290947,0.092028,0.057868,1.335994,0.070151,0.100024,1.310316,0.065175
60,0.500000,-0.169073,0.067011,-0.018271,-0.983153,0.060213,1.302821,0.058571,-0.027099,1.056703,0.529609,,,,,,,,,,,,,0.008458,1.319680,0.055043,0.054920,1.290936,0.092000,0.057949,1.335999,0.070124,0.100101,1.310318,0.065142
61,0.508333,-0.168938,0.066876,-0.018186,-0.983187,0.060291,1.302826,0.058547,-0.025101,1.056752,0.529696,,,,,,,,,,,,,0.008534,1.319694,0.055033,0.055003,1.290955,0.091978,0.058043,1.335992,0.070089,0.100177,1.310329,0.065107
62,0.516667,-0.168904,0.066679,-0.018056,-0.983209,0.060359,1.302842,0.058529,-0.023514,1.056983,0.529965,,,,,,,,,,,,,0.008601,1.319722,0.055038,0.055084,1.290972,0.091963,0.058126,1.336005,0.070065,0.100248,1.310340,0.065076
63,0.525000,-0.168862,0.066466,-0.018006,-0.983231,0.060436,1.302861,0.058513,-0.021550,1.057140,0.530226,,,,,,,,,,,,,0.008681,1.319739,0.055051,0.055176,1.290989,0.091944,0.058211,1.336034,0.070038,0.100321,1.310357,0.065050
64,0.533333,-0.168839,0.066285,-0.017913,-0.983249,0.060514,1.302884,0.058487,-0.019221,1.057068,0.530313,,,,,,,,,,,,,0.008760,1.319772,0.055042,0.055266,1.291008,0.091927,0.058296,1.336060,0.070010,0.100406,1.310377,0.065005
65,0.541667,-0.168866,0.066077,-0.017750,-0.983261,0.060597,1.302896,0.058466,-0.017341,1.057199,0.530511,,,,,,,,,,,,,0.008841,1.319793,0.055040,0.055365,1.291024,0.091908,0.058400,1.336072,0.069999,0.100490,1.310378,0.064963
66,0.550000,-0.168765,0.065805,-0.017589,-0.983300,0.060684,1.302905,0.058450,-0.015236,1.057274,0.530591,,,,,,,,,,,,,0.008926,1.319814,0.055050,0.055469,1.291047,0.091896,0.058502,1.336080,0.069983,0.100581,1.310378,0.064921
