Format Version,1.23,Take Name,kb_qpz,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-10-28 06.10.32.672 PM,Total Frames in Take,6538,Total Exported Frames,6538,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
33,0.275000,-0.154196,0.018842,-0.047687,-0.986709,0.019898,1.218768,0.376371,-0.080803,0.604657,0.742898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032965,1.231925,0.376799,0.018387,1.207758,0.410516,0.016231,1.251967,0.386775,0.059287,1.229441,0.379375
34,0.283333,-0.154137,0.018809,-0.047688,-0.986719,0.019909,1.218782,0.376363,-0.080811,0.604661,0.742893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032950,1.231938,0.376792,0.018396,1.207776,0.410511,0.016240,1.251984,0.386765,0.059298,1.229457,0.379360
35,0.291667,-0.154072,0.018785,-0.047701,-0.986729,0.019918,1.218786,0.376353,-0.080818,0.604662,0.742889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032939,1.231937,0.376780,0.018407,1.207787,0.410502,0.016248,1.251991,0.386756,0.059303,1.229458,0.379345
36,0.300000,-0.154028,0.018745,-0.047706,-0.986736,0.019923,1.218784,0.376346,-0.080838,0.604657,0.742873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032934,1.231936,0.376775,0.018416,1.207790,0.410498,0.016252,1.251989,0.386749,0.059308,1.229457,0.379333
37,0.308333,-0.154023,0.018713,-0.047699,-0.986738,0.019924,1.218782,0.376338,-0.080846,0.604675,0.742866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032933,1.231933,0.376769,0.018420,1.207789,0.410491,0.016255,1.251988,0.386743,0.059310,1.229454,0.379321
38,0.316667,-0.154058,0.018693,-0.047677,-0.986734,0.019920,1.218782,0.376331,-0.080856,0.604665,0.742855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032938,1.231935,0.376765,0.018417,1.207785,0.410483,0.016251,1.251989,0.386738,0.059307,1.229451,0.379313
39,0.325000,-0.154044,0.018675,-0.047677,-0.986736,0.019913,1.218783,0.376326,-0.080863,0.604689,0.742851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032942,1.231933,0.376760,0.018411,1.207788,0.410480,0.016245,1.251996,0.386735,0.059298,1.229451,0.379304
40,0.333333,-0.154026,0.018668,-0.047683,-0.986739,0.019902,1.218791,0.376320,-0.080871,0.604678,0.742843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032955,1.231942,0.376754,0.018401,1.207797,0.410475,0.016236,1.251998,0.386727,0.059287,1.229462,0.379298
41,0.341667,-0.153990,0.018675,-0.047681,-0.986745,0.019887,1.218797,0.376315,-0.080877,0.604681,0.742838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032970,1.231947,0.376747,0.018384,1.207806,0.410471,0.016223,1.252005,0.386720,0.059271,1.229469,0.379292
42,0.350000,-0.154033,0.018721,-0.047747,-0.986734,0.019867,1.218810,0.376314,-0.080879,0.604686,0.742829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032990,1.231946,0.376737,0.018359,1.207815,0.410470,0.016195,1.252035,0.386730,0.059251,1.229477,0.379288
43,0.358333,-0.154031,0.018744,-0.047770,-0.986733,0.019841,1.218812,0.376311,-0.080893,0.604677,0.742826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033017,1.231944,0.376731,0.018333,1.207818,0.410467,0.016172,1.252038,0.386728,0.059221,1.229480,0.379288
44,0.366667,-0.154179,0.018782,-0.047845,-0.986705,0.019807,1.218818,0.376314,-0.080900,0.604685,0.742821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033052,1.231937,0.376728,0.018302,1.207814,0.410467,0.016122,1.252057,0.386750,0.059189,1.229478,0.379292
