kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8863,-0.1286,-0.8888,-0.4928,0.3135,-0.9911,0.707251,0.134080,-0.689842,0.077047,1104120.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8862,-0.1286,-0.8889,-0.4932,0.3134,-0.9916,0.706394,0.133973,-0.690680,0.077588,1104136.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8862,-0.1286,-0.8890,-0.4937,0.3133,-0.9921,0.705563,0.133856,-0.691449,0.078494,1104152.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8861,-0.1286,-0.8891,-0.4942,0.3131,-0.9925,0.704713,0.133624,-0.692260,0.079381,1104169.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8860,-0.1286,-0.8893,-0.4949,0.3129,-0.9930,0.703735,0.133482,-0.693124,0.080735,1104185.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8860,-0.1286,-0.8894,-0.4954,0.3127,-0.9934,0.702744,0.133746,-0.693913,0.082146,1104203.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8859,-0.1286,-0.8895,-0.4960,0.3124,-0.9938,0.701836,0.134627,-0.694488,0.083592,1104220.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8859,-0.1286,-0.8896,-0.4965,0.3121,-0.9941,0.701014,0.135532,-0.694964,0.085057,1104236.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8897,-0.4971,0.3118,-0.9945,0.700315,0.136174,-0.695386,0.086341,1104252.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8898,-0.4976,0.3116,-0.9947,0.699859,0.137008,-0.695541,0.087451,1104268.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8898,-0.4981,0.3113,-0.9951,0.699402,0.137957,-0.695710,0.088275,1104285.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8899,-0.4986,0.3111,-0.9954,0.698971,0.139029,-0.695854,0.088875,1104302.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8857,-0.1286,-0.8899,-0.4990,0.3109,-0.9957,0.698683,0.140227,-0.695884,0.089022,1104319.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8857,-0.1286,-0.8899,-0.4994,0.3108,-0.9961,0.698609,0.141242,-0.695779,0.088813,1104335.00,,,,,,,,,,,,,,,,,,,,,,,,,
