Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
90050/125000, loss = -15.196, regloss = -13.99339, valid_loss = -13.949, time = 3.546
90060/125000, loss = -15.524, regloss = -14.07113, valid_loss = -14.147, time = 3.690
90070/125000, loss = -15.552, regloss = -13.99490, valid_loss = -11.263, time = 3.319
90080/125000, loss = -13.793, regloss = -13.93719, valid_loss = -12.765, time = 3.959
90090/125000, loss = -14.125, regloss = -13.93301, valid_loss = -13.413, time = 3.554
90100/125000, loss = -14.131, regloss = -13.95964, valid_loss = -10.752, time = 3.571
90110/125000, loss = -14.367, regloss = -13.92669, valid_loss = -13.812, time = 3.559
90120/125000, loss = -14.909, regloss = -14.00836, valid_loss = -14.166, time = 3.286
90130/125000, loss = -15.832, regloss = -14.15622, valid_loss = -13.437, time = 3.303
90140/125000, loss = -15.031, regloss = -14.27382, valid_loss = -13.553, time = 3.588
90150/125000, loss = -15.686, regloss = -14.37178, valid_loss = -14.185, time = 3.514
90160/125000, loss = -15.684, regloss = -14.46822, valid_loss = -14.326, time = 3.497
90170/125000, loss = -15.421, regloss = -14.55978, valid_loss = -14.177, time = 3.517
